order_id,order_date,ship_date,ship_mode,customer_id,product_id,qty,discount
5893,7/29/2022,8/3/2022,Standard Class,CUST-715,PD-999,3,0.7
6259,10/2/2022,10/3/2022,First Class,CUST-767,PD-999,6,0.7
15202,3/3/2022,3/4/2022,Standard Class,CUST-544,PD-999,1,0.3
15596,4/1/2022,4/2/2022,Standard Class,CUST-146,PD-999,1,0.3
15679,1/15/2022,1/16/2022,Standard Class,CUST-132,PD-999,1,0.3
15793,4/4/2022,4/8/2022,Standard Class,CUST-126,PD-999,1,0.3
15851,4/6/2022,4/8/2022,Standard Class,CUST-124,PD-999,1,0.3
15910,1/5/2022,1/9/2022,Standard Class,CUST-145,PD-999,1,0.3
16020,4/6/2022,4/11/2022,Standard Class,CUST-135,PD-999,1,0.3
16094,5/14/2022,5/21/2022,Standard Class,CUST-109,PD-999,1,0.3
16170,3/4/2022,3/9/2022,Standard Class,CUST-131,PD-999,1,0.3
16191,1/2/2022,1/6/2022,Standard Class,CUST-102,PD-999,1,0.3
16250,5/3/2022,5/6/2022,Standard Class,CUST-5,PD-999,1,0.3
4180,10/23/2022,10/29/2022,Standard Class,CUST-191,PD-998,10,0
5935,6/4/2022,6/6/2022,First Class,CUST-393,PD-998,2,0
6150,12/6/2022,12/12/2022,Standard Class,CUST-264,PD-998,5,0
15001,5/5/2022,5/6/2022,Standard Class,CUST-429,PD-998,1,0.3
15204,1/2/2022,1/4/2022,Standard Class,CUST-504,PD-998,1,0.3
15343,3/6/2022,3/11/2022,Standard Class,CUST-132,PD-998,1,0.3
15479,1/8/2022,1/13/2022,Standard Class,CUST-131,PD-998,1,0.3
15496,4/3/2022,4/9/2022,Standard Class,CUST-150,PD-998,1,0.3
15515,4/7/2022,4/10/2022,Standard Class,CUST-137,PD-998,1,0.3
15570,2/14/2022,2/19/2022,Standard Class,CUST-150,PD-998,1,0.3
15814,4/14/2022,4/20/2022,Standard Class,CUST-107,PD-998,1,0.3
15858,3/11/2022,3/17/2022,Standard Class,CUST-129,PD-998,1,0.3
15899,4/12/2022,4/15/2022,Standard Class,CUST-110,PD-998,1,0.3
15973,4/1/2022,4/4/2022,Standard Class,CUST-144,PD-998,1,0.3
16289,1/13/2022,1/19/2022,Standard Class,CUST-9,PD-998,1,0.3
5533,4/10/2022,4/17/2022,Standard Class,CUST-493,PD-997,3,0
15028,3/10/2022,3/16/2022,Standard Class,CUST-417,PD-997,1,0.3
15270,3/14/2022,3/17/2022,Standard Class,CUST-424,PD-997,1,0.3
15281,3/2/2022,3/9/2022,Standard Class,CUST-227,PD-997,1,0.3
15474,5/6/2022,5/10/2022,Standard Class,CUST-131,PD-997,1,0.3
15476,1/6/2022,1/11/2022,Standard Class,CUST-145,PD-997,1,0.3
15526,5/1/2022,5/5/2022,Standard Class,CUST-118,PD-997,1,0.3
15673,3/6/2022,3/10/2022,Standard Class,CUST-130,PD-997,1,0.3
15696,3/13/2022,3/18/2022,Standard Class,CUST-146,PD-997,1,0.3
15853,5/2/2022,5/7/2022,Standard Class,CUST-114,PD-997,1,0.3
16019,2/1/2022,2/6/2022,Standard Class,CUST-119,PD-997,1,0.3
16082,4/10/2022,4/15/2022,Standard Class,CUST-120,PD-997,1,0.3
16142,5/2/2022,5/5/2022,Standard Class,CUST-150,PD-997,1,0.3
16424,3/10/2022,3/11/2022,First Class,CUST-36,PD-997,1,0.3
6504,10/10/2022,10/12/2022,First Class,CUST-150,PD-996,3,0.7
15071,2/9/2022,2/11/2022,Standard Class,CUST-423,PD-996,1,0.3
15357,4/9/2022,4/10/2022,Standard Class,CUST-129,PD-996,1,0.3
15391,3/7/2022,3/10/2022,Standard Class,CUST-150,PD-996,1,0.3
15490,2/9/2022,2/13/2022,Standard Class,CUST-121,PD-996,1,0.3
15553,2/13/2022,2/20/2022,Standard Class,CUST-136,PD-996,1,0.3
15588,1/10/2022,1/11/2022,Standard Class,CUST-112,PD-996,1,0.3
15590,3/12/2022,3/18/2022,Standard Class,CUST-124,PD-996,1,0.3
16013,4/11/2022,4/17/2022,Standard Class,CUST-124,PD-996,1,0.3
16238,2/7/2022,2/13/2022,Standard Class,CUST-30,PD-996,1,0.3
5322,6/12/2022,6/15/2022,First Class,CUST-523,PD-995,6,0
15166,1/15/2022,1/17/2022,Standard Class,CUST-395,PD-995,1,0.3
15382,2/6/2022,2/10/2022,Standard Class,CUST-116,PD-995,1,0.3
15489,1/9/2022,1/16/2022,Standard Class,CUST-105,PD-995,1,0.3
15599,2/3/2022,2/6/2022,Standard Class,CUST-102,PD-995,1,0.3
16022,3/15/2022,3/22/2022,Standard Class,CUST-147,PD-995,1,0.3
16271,5/6/2022,5/8/2022,Standard Class,CUST-24,PD-995,1,0.3
16362,2/15/2022,2/16/2022,Standard Class,CUST-43,PD-995,1,0.3
5070,10/21/2022,10/26/2022,Second Class,CUST-254,PD-994,3,0
5108,2/14/2022,2/19/2022,Standard Class,CUST-673,PD-994,7,0
6059,9/2/2022,9/6/2022,Standard Class,CUST-393,PD-994,2,0
15275,3/2/2022,3/4/2022,Standard Class,CUST-247,PD-994,1,0.3
15417,2/2/2022,2/5/2022,Standard Class,CUST-122,PD-994,1,0.3
15457,1/10/2022,1/17/2022,Standard Class,CUST-102,PD-994,1,0.3
15649,5/7/2022,5/8/2022,Standard Class,CUST-124,PD-994,1,0.3
16172,5/1/2022,5/5/2022,Standard Class,CUST-112,PD-994,1,0.3
16273,1/13/2022,1/20/2022,Standard Class,CUST-11,PD-994,1,0.3
16279,3/14/2022,3/16/2022,Standard Class,CUST-17,PD-994,1,0.3
16330,3/7/2022,3/8/2022,Standard Class,CUST-40,PD-994,1,0.3
4784,12/18/2022,12/21/2022,First Class,CUST-83,PD-993,4,0.7
5675,5/30/2022,6/4/2022,Standard Class,CUST-620,PD-993,2,0.7
6655,5/2/2022,5/6/2022,Standard Class,CUST-217,PD-993,3,0.2
15425,3/10/2022,3/12/2022,Standard Class,CUST-145,PD-993,1,0.3
15466,3/6/2022,3/10/2022,Standard Class,CUST-110,PD-993,1,0.3
15511,5/3/2022,5/5/2022,Standard Class,CUST-114,PD-993,1,0.3
15521,1/4/2022,1/6/2022,Standard Class,CUST-122,PD-993,1,0.3
15568,1/3/2022,1/6/2022,Standard Class,CUST-119,PD-993,1,0.3
15936,3/15/2022,3/18/2022,Standard Class,CUST-101,PD-993,1,0.3
16005,1/10/2022,1/15/2022,Standard Class,CUST-113,PD-993,1,0.3
16083,2/12/2022,2/18/2022,Standard Class,CUST-149,PD-993,1,0.3
16167,5/14/2022,5/15/2022,Standard Class,CUST-102,PD-993,1,0.3
16300,4/1/2022,4/6/2022,Standard Class,CUST-17,PD-993,1,0.3
4956,11/25/2022,11/28/2022,First Class,CUST-521,PD-992,2,0
6360,7/4/2022,7/4/2022,Same Day,CUST-348,PD-992,3,0.2
15046,2/4/2022,2/9/2022,Standard Class,CUST-177,PD-992,1,0.3
15181,5/6/2022,5/7/2022,Standard Class,CUST-327,PD-992,1,0.3
15258,4/7/2022,4/10/2022,Standard Class,CUST-193,PD-992,1,0.3
15406,1/14/2022,1/16/2022,Standard Class,CUST-107,PD-992,1,0.3
15412,3/6/2022,3/10/2022,Standard Class,CUST-131,PD-992,1,0.3
15440,1/14/2022,1/19/2022,Standard Class,CUST-101,PD-992,1,0.3
15608,4/9/2022,4/11/2022,Standard Class,CUST-122,PD-992,1,0.3
15744,1/11/2022,1/18/2022,Standard Class,CUST-134,PD-992,1,0.3
15812,2/12/2022,2/16/2022,Standard Class,CUST-103,PD-992,1,0.3
16081,4/13/2022,4/14/2022,Standard Class,CUST-141,PD-992,1,0.3
16208,1/5/2022,1/10/2022,Standard Class,CUST-148,PD-992,1,0.3
16295,1/10/2022,1/14/2022,Standard Class,CUST-17,PD-992,1,0.3
16311,4/3/2022,4/7/2022,Standard Class,CUST-47,PD-992,1,0.3
