order_id,order_date,ship_date,ship_mode,customer_id,product_id,qty,discount
9994,1/12/2024,1/14/2024,Same Day,CUST-308,PD-590,4,0.31
9995,1/18/2024,1/21/2024,Same Day,CUST-150,PD-1258,5,0.15
9996,1/1/2024,1/3/2024,Second Class,CUST-381,PD-421,2,0.38
9997,3/28/2024,3/30/2024,Second Class,CUST-254,PD-116,5,0.25
9998,3/11/2024,3/15/2024,First Class,CUST-54,PD-425,1,0.05
9999,2/24/2024,2/25/2024,Second Class,CUST-326,PD-930,1,0.33
10000,2/22/2024,2/23/2024,Same Day,CUST-447,PD-911,4,0.45
10001,2/22/2024,2/27/2024,Same Day,CUST-309,PD-155,4,0.31
10002,3/19/2024,3/24/2024,First Class,CUST-15,PD-753,4,0.02
10003,1/27/2024,1/30/2024,Second Class,CUST-16,PD-731,3,0.02
10004,3/15/2024,3/16/2024,Same Day,CUST-353,PD-1180,2,0.35
10005,3/13/2024,3/17/2024,First Class,CUST-230,PD-950,5,0.23
10006,3/4/2024,3/9/2024,Same Day,CUST-278,PD-553,4,0.28
10007,1/26/2024,1/27/2024,Same Day,CUST-288,PD-1527,3,0.29
10008,2/10/2024,2/11/2024,First Class,CUST-85,PD-1385,1,0.09
10009,2/18/2024,2/19/2024,Same Day,CUST-28,PD-117,1,0.03
10010,3/1/2024,3/3/2024,First Class,CUST-226,PD-921,1,0.23
10011,1/25/2024,1/28/2024,Second Class,CUST-175,PD-1340,5,0.18
10012,3/28/2024,3/30/2024,Second Class,CUST-122,PD-710,5,0.12
10013,2/21/2024,2/23/2024,First Class,CUST-89,PD-803,2,0.09
10014,2/5/2024,2/6/2024,First Class,CUST-174,PD-1618,5,0.17
10015,1/11/2024,1/16/2024,Same Day,CUST-55,PD-1300,4,0.06
10016,3/21/2024,3/26/2024,Same Day,CUST-89,PD-803,4,0.09
10017,3/3/2024,3/7/2024,Same Day,CUST-48,PD-1191,1,0.05
10018,2/21/2024,2/22/2024,Second Class,CUST-2,PD-1470,5,0
10019,3/10/2024,3/15/2024,Second Class,CUST-98,PD-1611,3,0.1
10020,1/22/2024,1/27/2024,Same Day,CUST-352,PD-1574,3,0.35
10021,1/18/2024,1/23/2024,Second Class,CUST-78,PD-1194,2,0.08
10022,1/10/2024,1/12/2024,First Class,CUST-125,PD-915,4,0.13
10023,3/18/2024,3/20/2024,Second Class,CUST-151,PD-1037,1,0.15
10024,2/7/2024,2/11/2024,First Class,CUST-6,PD-1424,4,0.01
10025,2/10/2024,2/11/2024,Same Day,CUST-36,PD-823,1,0.04
10026,3/21/2024,3/25/2024,Second Class,CUST-91,PD-1573,5,0.09
10027,1/28/2024,2/1/2024,First Class,CUST-359,PD-1009,1,0.36
10028,3/8/2024,3/9/2024,Same Day,CUST-396,PD-230,4,0.4
10029,3/20/2024,3/22/2024,First Class,CUST-169,PD-635,1,0.17
10030,3/1/2024,3/4/2024,Same Day,CUST-298,PD-562,5,0.3
10031,2/18/2024,2/20/2024,First Class,CUST-252,PD-6,3,0.25
10032,3/2/2024,3/5/2024,Same Day,CUST-299,PD-1202,1,0.3
10033,1/18/2024,1/21/2024,Second Class,CUST-122,PD-710,5,0.12
10034,1/16/2024,1/20/2024,Same Day,CUST-280,PD-370,5,0.28
10035,2/22/2024,2/24/2024,First Class,CUST-174,PD-1618,2,0.17
10036,2/5/2024,2/10/2024,Same Day,CUST-142,PD-1606,4,0.14
10037,2/21/2024,2/22/2024,First Class,CUST-95,PD-470,2,0.1
10038,3/20/2024,3/22/2024,Second Class,CUST-358,PD-1273,5,0.36
10039,2/20/2024,2/22/2024,First Class,CUST-181,PD-1441,4,0.18
10040,1/29/2024,2/3/2024,Same Day,CUST-229,PD-400,3,0.23
10041,1/17/2024,1/20/2024,First Class,CUST-401,PD-188,4,0.4
10042,2/18/2024,2/20/2024,Second Class,CUST-172,PD-882,3,0.17
10043,2/13/2024,2/18/2024,Same Day,CUST-296,PD-1242,1,0.3
10044,3/16/2024,3/20/2024,Same Day,CUST-321,PD-1278,2,0.32
10045,1/10/2024,1/13/2024,Second Class,CUST-49,PD-1352,1,0.05
10046,3/25/2024,3/26/2024,First Class,CUST-239,PD-688,4,0.24
10047,2/1/2024,2/2/2024,Same Day,CUST-397,PD-1047,4,0.4
