order_id,order_date,ship_date,ship_mode,customer_id,product_id,qty,discount
1,5/13/2020,5/15/2020,Second Class,CUST-1,PD-965,2,0
2,10/20/2020,10/25/2020,Second Class,CUST-2,PD-1162,4,0
3,8/25/2020,8/27/2020,Second Class,CUST-3,PD-157,14,0.2
4,8/25/2020,8/27/2020,Second Class,CUST-3,PD-116,2,0.2
5,8/25/2020,8/27/2020,Second Class,CUST-3,PD-565,3,0.2
6,8/25/2020,8/27/2020,Second Class,CUST-3,PD-903,6,0.2
7,12/26/2020,12/28/2020,Second Class,CUST-4,PD-1494,3,0.3
8,9/20/2020,9/25/2020,Standard Class,CUST-5,PD-1338,6,0.5
9,10/22/2020,10/28/2020,Standard Class,CUST-6,PD-924,4,0.2
10,9/14/2020,9/19/2020,Standard Class,CUST-7,PD-954,2,0.8
12,11/19/2020,11/24/2020,Second Class,CUST-8,PD-1398,4,0
13,11/19/2020,11/24/2020,Second Class,CUST-8,PD-990,5,0
14,11/19/2020,11/24/2020,Second Class,CUST-8,PD-764,2,0
15,8/26/2020,8/30/2020,Standard Class,CUST-9,PD-907,8,0
16,3/21/2020,3/25/2020,Standard Class,CUST-10,PD-235,2,0.2
17,3/21/2020,3/25/2020,Standard Class,CUST-10,PD-89,3,0.2
18,9/13/2020,9/17/2020,Standard Class,CUST-11,PD-141,7,0.7
19,9/19/2020,9/21/2020,Second Class,CUST-12,PD-1610,3,0.4
21,12/26/2020,12/28/2020,First Class,CUST-13,PD-1062,8,0.2
22,12/26/2020,12/28/2020,First Class,CUST-13,PD-1252,3,0.2
23,12/26/2020,12/28/2020,First Class,CUST-13,PD-1245,3,0.2
24,12/26/2020,12/28/2020,First Class,CUST-13,PD-795,5,0.7
25,12/26/2020,12/28/2020,First Class,CUST-13,PD-607,3,0.2
26,12/28/2020,12/30/2020,First Class,CUST-14,PD-942,4,0.2
27,9/19/2020,9/24/2020,Standard Class,CUST-15,PD-225,2,0
28,4/13/2020,4/17/2020,Second Class,CUST-16,PD-308,4,0.2
29,4/13/2020,4/17/2020,Second Class,CUST-16,PD-1150,10,0.7
30,4/13/2020,4/17/2020,Second Class,CUST-16,PD-117,13,0.2
31,4/13/2020,4/17/2020,Second Class,CUST-16,PD-447,12,0.4
32,9/24/2020,9/29/2020,Standard Class,CUST-17,PD-1162,4,0
34,7/23/2020,7/27/2020,Standard Class,CUST-18,PD-1402,8,0.2
35,7/23/2020,7/27/2020,Standard Class,CUST-18,PD-609,1,0.2
37,11/24/2020,11/26/2020,First Class,CUST-19,PD-137,1,0.2
38,9/21/2020,9/23/2020,Second Class,CUST-20,PD-1393,2,0.2
40,12/24/2020,12/26/2020,First Class,CUST-21,PD-333,2,0.2
41,4/16/2020,4/20/2020,Standard Class,CUST-22,PD-501,6,0.2
43,12/19/2020,12/25/2020,Standard Class,CUST-24,PD-120,2,0.7
44,12/19/2020,12/25/2020,Standard Class,CUST-24,PD-1139,5,0.2
45,7/22/2020,7/27/2020,Standard Class,CUST-25,PD-179,2,0
46,7/22/2020,7/27/2020,Standard Class,CUST-25,PD-1264,2,0
47,10/29/2020,10/31/2020,First Class,CUST-26,PD-1595,6,0.2
48,9/14/2020,9/19/2020,Standard Class,CUST-27,PD-1289,5,0
49,9/14/2020,9/19/2020,Standard Class,CUST-27,PD-233,3,0
51,9/14/2020,9/18/2020,Second Class,CUST-28,PD-304,3,0.2
52,3/15/2020,3/19/2020,Standard Class,CUST-29,PD-1429,1,0.2
53,3/15/2020,3/19/2020,Standard Class,CUST-29,PD-785,3,0.2
54,3/15/2020,3/19/2020,Standard Class,CUST-29,PD-120,3,0.7
55,3/15/2020,3/19/2020,Standard Class,CUST-29,PD-669,4,0.7
57,5/23/2020,5/27/2020,Standard Class,CUST-30,PD-57,2,0.7
58,5/23/2020,5/27/2020,Standard Class,CUST-30,PD-115,9,0.2
59,5/23/2020,5/27/2020,Standard Class,CUST-30,PD-963,2,0.4
62,6/21/2020,6/23/2020,Second Class,CUST-33,PD-1339,1,0
63,6/21/2020,6/23/2020,Second Class,CUST-33,PD-1549,1,0
64,6/21/2020,6/23/2020,Second Class,CUST-33,PD-715,3,0
65,5/27/2020,5/27/2020,Same Day,CUST-34,PD-1186,10,0.2
66,5/27/2020,5/27/2020,Same Day,CUST-34,PD-1289,4,0
67,1/13/2020,1/15/2020,Second Class,CUST-35,PD-414,2,0
68,1/13/2020,1/15/2020,Second Class,CUST-35,PD-819,3,0
69,1/13/2020,1/15/2020,Second Class,CUST-35,PD-1345,6,0
70,1/13/2020,1/15/2020,Second Class,CUST-35,PD-78,3,0
71,1/13/2020,1/15/2020,Second Class,CUST-35,PD-1304,6,0
72,5/14/2020,5/20/2020,Standard Class,CUST-36,PD-1452,2,0.2
73,9/20/2020,9/26/2020,Standard Class,CUST-37,PD-352,2,0
74,9/20/2020,9/26/2020,Standard Class,CUST-37,PD-404,4,0
75,10/13/2020,10/15/2020,First Class,CUST-38,PD-163,4,0
76,10/13/2020,10/15/2020,First Class,CUST-38,PD-1536,5,0
78,10/13/2020,10/15/2020,First Class,CUST-38,PD-730,2,0
79,9/17/2020,9/21/2020,Standard Class,CUST-39,PD-40,4,0.7
80,6/15/2020,6/21/2020,Standard Class,CUST-13,PD-1143,2,0.3
81,6/15/2020,6/21/2020,Standard Class,CUST-13,PD-1493,4,0.3
82,6/15/2020,6/21/2020,Standard Class,CUST-13,PD-158,3,0.8
84,9/13/2020,9/16/2020,First Class,CUST-40,PD-1148,5,0.2
