order_id,order_date,ship_date,ship_mode,customer_id,product_id,qty,discount
6675,4/15/2023,4/20/2023,Standard Class,CUST-519,PD-388,3,0.2
6676,7/16/2023,7/18/2023,Second Class,CUST-420,PD-1085,2,0.3
6677,10/19/2023,10/23/2023,Second Class,CUST-179,PD-713,3,0.2
6678,9/19/2023,9/23/2023,Standard Class,CUST-537,PD-1196,2,0.2
6679,9/14/2023,9/17/2023,Second Class,CUST-73,PD-365,3,0
6680,11/13/2023,11/16/2023,First Class,CUST-122,PD-1253,3,0.2
6681,5/28/2023,5/30/2023,Second Class,CUST-2,PD-1387,2,0
6682,6/17/2023,6/20/2023,First Class,CUST-100,PD-294,3,0.2
6683,11/23/2023,11/28/2023,Standard Class,CUST-772,PD-611,8,0.2
6684,11/23/2023,11/28/2023,Standard Class,CUST-772,PD-968,1,0.2
6685,11/23/2023,11/28/2023,Standard Class,CUST-772,PD-273,1,0.2
6686,12/25/2023,12/30/2023,Standard Class,CUST-768,PD-894,2,0
6687,9/18/2023,9/23/2023,Standard Class,CUST-413,PD-114,3,0
6688,9/18/2023,9/23/2023,Standard Class,CUST-413,PD-169,3,0
6689,9/18/2023,9/23/2023,Standard Class,CUST-413,PD-1121,3,0
6690,12/22/2023,12/27/2023,Standard Class,CUST-621,PD-1514,3,0
6691,4/21/2023,4/25/2023,Second Class,CUST-434,PD-936,4,0.8
6694,6/16/2023,6/20/2023,Standard Class,CUST-660,PD-430,3,0.2
6695,9/16/2023,9/17/2023,First Class,CUST-332,PD-305,2,0
6696,9/16/2023,9/17/2023,First Class,CUST-332,PD-440,1,0
6698,10/13/2023,10/17/2023,Standard Class,CUST-638,PD-416,4,0.2
6699,10/13/2023,10/17/2023,Standard Class,CUST-638,PD-722,6,0.2
6700,10/13/2023,10/17/2023,Standard Class,CUST-638,PD-653,3,0.2
6701,11/19/2023,11/23/2023,Standard Class,CUST-655,PD-1247,3,0.5
6702,4/15/2023,4/17/2023,First Class,CUST-568,PD-256,1,0
6703,6/15/2023,6/19/2023,Standard Class,CUST-783,PD-802,3,0.2
6706,12/24/2023,12/29/2023,Standard Class,CUST-58,PD-700,3,0
6707,6/24/2023,6/28/2023,Standard Class,CUST-738,PD-626,8,0
6709,10/19/2023,10/23/2023,Standard Class,CUST-634,PD-589,3,0
6710,8/21/2023,8/23/2023,Second Class,CUST-410,PD-1446,4,0
6711,11/23/2023,11/26/2023,Second Class,CUST-244,PD-760,2,0
6712,11/23/2023,11/26/2023,Second Class,CUST-244,PD-669,8,0
6713,9/15/2023,9/19/2023,Standard Class,CUST-674,PD-266,8,0.2
